contest_type	contest_district_type	Selection	Contest	ReportingUnit	CountItemType	Count
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Saguache County	total	1207
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;San Juan County	total	201
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;San Miguel County	total	2278
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Sedgwick County	total	431
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Summit County	total	7389
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Teller County	total	5991
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Washington County	total	813
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Weld County	total	52507
BallotMeasure	state	Yes	Ballot Format for Judicial Races	Colorado;Yuma County	total	1493
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Adams County	total	93361
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Alamosa County	total	3928
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Arapahoe County	total	148103
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Archuleta County	total	4100
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Baca County	total	1260
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Bent County	total	1194
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Boulder County	total	117575
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Broomfield County	total	20706
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Chaffee County	total	7273
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Cheyenne County	total	597
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Clear Creek County	total	3079
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Conejos County	total	2399
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Costilla County	total	939
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Crowley County	total	892
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Custer County	total	1801
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Delta County	total	10096
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Denver County	total	186895
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Dolores County	total	845
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Douglas County	total	95112
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Eagle County	total	12963
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;El Paso County	total	153421
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Elbert County	total	8379
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Fremont County	total	12568
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Garfield County	total	14590
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Gilpin County	total	2007
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Grand County	total	4630
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Gunnison County	total	5982
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Hinsdale County	total	373
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Huerfano County	total	2123
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Jackson County	total	534
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Jefferson County	total	172248
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Kiowa County	total	473
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Kit Carson County	total	1643
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;La Plata County	total	18312
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Lake County	total	1782
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Larimer County	total	103297
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Las Animas County	total	3895
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Lincoln County	total	1346
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Logan County	total	5213
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Mesa County	total	44359
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Mineral County	total	379
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Moffat County	total	3787
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Montezuma County	total	7737
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Montrose County	total	12616
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Morgan County	total	6704
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Otero County	total	4715
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Ouray County	total	2122
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Park County	total	5554
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Phillips County	total	1259
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Pitkin County	total	5573
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Prowers County	total	2592
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Pueblo County	total	39900
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Rio Blanco County	total	1972
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Rio Grande County	total	3328
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Routt County	total	8448
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Saguache County	total	1766
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;San Juan County	total	311
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;San Miguel County	total	2690
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Sedgwick County	total	792
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Summit County	total	8041
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Teller County	total	7587
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Washington County	total	1524
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Weld County	total	70633
BallotMeasure	state	No	Bonds for Transportation Projects	Colorado;Yuma County	total	2610
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Adams County	total	69738
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Alamosa County	total	1879
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Arapahoe County	total	113725
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Archuleta County	total	2283
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Baca County	total	500
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Bent County	total	631
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Boulder County	total	48923
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Broomfield County	total	14040
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Chaffee County	total	3120
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Cheyenne County	total	364
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Clear Creek County	total	2080
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Conejos County	total	896
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Costilla County	total	523
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Crowley County	total	429
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Custer County	total	1009
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Delta County	total	4388
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Denver County	total	110358
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Dolores County	total	276
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Douglas County	total	73840
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Eagle County	total	7661
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;El Paso County	total	115571
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Elbert County	total	5852
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Fremont County	total	6410
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Garfield County	total	8557
BallotMeasure	state	Yes	Bonds for Transportation Projects	Colorado;Gilpin County	total	1228
