contest_type	Contest	contest_district_type	Selection	ReportingUnit	CountItemType	Count
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Conejos County	total	2399
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Costilla County	total	939
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Crowley County	total	892
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Custer County	total	1801
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Delta County	total	10096
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Denver County	total	186895
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Dolores County	total	845
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Douglas County	total	95112
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Eagle County	total	12963
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;El Paso County	total	153421
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Elbert County	total	8379
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Fremont County	total	12568
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Garfield County	total	14590
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Gilpin County	total	2007
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Grand County	total	4630
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Gunnison County	total	5982
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Hinsdale County	total	373
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Huerfano County	total	2123
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Jackson County	total	534
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Jefferson County	total	172248
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Kiowa County	total	473
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Kit Carson County	total	1643
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;La Plata County	total	18312
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Lake County	total	1782
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Larimer County	total	103297
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Las Animas County	total	3895
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Lincoln County	total	1346
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Logan County	total	5213
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Mesa County	total	44359
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Mineral County	total	379
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Moffat County	total	3787
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Montezuma County	total	7737
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Montrose County	total	12616
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Morgan County	total	6704
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Otero County	total	4715
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Ouray County	total	2122
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Park County	total	5554
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Phillips County	total	1259
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Pitkin County	total	5573
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Prowers County	total	2592
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Pueblo County	total	39900
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Rio Blanco County	total	1972
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Rio Grande County	total	3328
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Routt County	total	8448
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Saguache County	total	1766
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;San Juan County	total	311
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;San Miguel County	total	2690
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Sedgwick County	total	792
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Summit County	total	8041
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Teller County	total	7587
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Washington County	total	1524
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Weld County	total	70633
BallotMeasure	Bonds for Transportation Projects	state	No	Colorado;Yuma County	total	2610
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Adams County	total	69738
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Alamosa County	total	1879
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Arapahoe County	total	113725
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Archuleta County	total	2283
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Baca County	total	500
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Bent County	total	631
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Boulder County	total	48923
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Broomfield County	total	14040
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Chaffee County	total	3120
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Cheyenne County	total	364
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Clear Creek County	total	2080
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Conejos County	total	896
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Costilla County	total	523
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Crowley County	total	429
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Custer County	total	1009
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Delta County	total	4388
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Denver County	total	110358
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Dolores County	total	276
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Douglas County	total	73840
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Eagle County	total	7661
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;El Paso County	total	115571
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Elbert County	total	5852
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Fremont County	total	6410
BallotMeasure	Bonds for Transportation Projects	state	Yes	Colorado;Garfield County	total	8557
